parameter_A,module_A,parameter_B,module_B,shared_suffix,stage_relationship_pattern,direction_higher_A_minus_B,effect_range_yield_pct,shape_fold_consistency,direction_fold_consistency,evidence_label,reason
BRGM_ET_Cap_C300,BRGM,THIN_ET_Cap_C300,THIN,Cap_C300,complex_nonmonotonic,n/a,1.174,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
THIN_ET_C300_0,THIN,TOPSIN_ET_C300_0,TOPSIN,C300_0,complex_nonmonotonic,n/a,1.022,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
BRGM_ET_C300_0,BRGM,TOPSIN_ET_C300_0,TOPSIN,C300_0,threshold,n/a,0.5075,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
BRGM_ET_C300_0,BRGM,THIN_ET_C300_0,THIN,C300_0,threshold,n/a,0.5075,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
THIN_ET_C300,THIN,TOPSIN_ET_C300,TOPSIN,C300,complex_nonmonotonic,n/a,0.7852,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
BRGM_ET_C300,BRGM,TOPSIN_ET_C300,TOPSIN,C300,complex_nonmonotonic,n/a,1.3782,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
BRGM_ET_C300,BRGM,THIN_ET_C300,THIN,C300,complex_nonmonotonic,n/a,1.378,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
BRGM_ET_C200,BRGM,THIN_ET_C200,THIN,C200,complex_nonmonotonic,n/a,1.5145,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
OHMIC_ET_Rsh_an_ct2,OHMIC,THIN_ET_Rsh_an_ct2,THIN,Rsh_an_ct2,complex_nonmonotonic,n/a,0.9458,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
TFRP_ET_TF_AB_1,TFRP,THIN_ET_TF_AB_1,THIN,TF_AB_1,U_shape,n/a,1.4733,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
ANODE_ET_Ran_con_1,ANODE,THIN_ET_Ran_con_1,THIN,Ran_con_1,complex_nonmonotonic,n/a,0.8508,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
TFRP_ET_TF_AB_3,TFRP,THIN_ET_TF_AB_3,THIN,TF_AB_3,complex_nonmonotonic,n/a,0.9652,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
ANODE_ET_C_AN_2_OW_CR,ANODE,THIN_ET_C_AN_2_OW_CR,THIN,C_AN_2_OW_CR,complex_nonmonotonic,n/a,1.5536,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
