parameter_A,parameter_B,evidence_label,interaction_incremental_r2,fold_reproducibility,quality_score,evidence_tier_A,evidence_tier_B,admission_rule
TOPSIN_ET_C100Cap2pf,MEASURE_ET_DC_SEC_Vp_1mA,MODERATE,0.0622,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_Rc_OG142_GN,SIN_ET_DC_RF_Vg_max_Vd,MODERATE,0.0282,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
OHMIC_ET_sh_GA142,MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,STRONG,0.0313,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
ANODE_ET_Rc_an_ct2,MEASURE_ET_DC_RF_Max_S11_Ph_L2180,STRONG,0.063,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
SIN_ET_DC_RF_Vbin_gd,MEASURE_ET_lkg_50,STRONG,0.1178,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
SIN_ET_lkg_SY8_80,TOPSIN_ET_C100CapPARCAP,STRONG,0.0889,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_USV_Cappf_0,FIC_ET_DC_RF_Imax,STRONG,0.0582,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_TR_1F,MEASURE_ET_DC_RF_Max_S11_Ph_L2180,STRONG,0.0655,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_SEC_X_Vp_1_mA_mm_first,MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,STRONG,0.0808,5/5,6.0,MEDIUM_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_Rc_cat_ct2_OW_ST,SIN_GATE_ET_lkg_5,MODERATE,0.0389,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
SIN_ET_DC_RF_Vg_max_Vd_0p1,MEASURE_ET_lkg_50_at20V,MODERATE,0.0166,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
CATHODE_ET_Rcat_cn_2,TOPSIN_ET_DC_RF_Vboff,STRONG,0.0324,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_TF_AB_2,MEASURE_ET_DC_RF_Min_S21_Mag_L1002,STRONG,0.0824,5/5,5.7,HIGH_EVIDENCE,LOW_EVIDENCE,G2_hub_feature_edge
CATHODE_ET_Rc_cat_ct2,SIN_ET_lkg_SY8_80,STRONG,0.0422,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIC_ET_DC_RF_Vp_01,TOPSIN_ET_lkg_Cap_USV,MODERATE,0.1212,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_CapFICM1,THIN_ET_i5021_3,MODERATE,0.0353,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIC_ET_DC_RF_Ids_m0p2,MEASURE_ET_RF_Modeling_K,MODERATE,0.0435,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_lkg_CapPARCAP,FIC_ET_DC_RF_Ids_m0p2,STRONG,0.0514,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
OHMIC_ET_lkg_5,MEASURE_ET_C100C175pf,STRONG,0.0349,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_RF_CF_S22_Ph_L1018,MEASURE_ET_lkg_PAD_10,STRONG,0.0453,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_C300pf,TOPSIN_ET_DC_RF_Idss,STRONG,0.0551,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_TR_1F,MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,STRONG,0.1027,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIC_ET_DC_RF_Ids_m0p2,THIN_ET_Rc_an_ct2_OW_CR,STRONG,0.079,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TFRP_ET_Rc_TF_AB_2,TOPSIN_ET_lkg_Cap2,STRONG,0.0861,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
ANODE_ET_Rc_an_ct2_OW_CR,FIC_ET_DC_RF_Vg_max_Vd,STRONG,0.0746,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_CapFICM1,FIC_ET_DC_RF_Vbgd_0p1,STRONG,0.1469,5/5,6.0,HIGH_EVIDENCE,MEDIUM_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_Stress_Id_max_Ig_after,SIN_GATE_ET_Ran_con_2,STRONG,0.0455,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_RF_Vbon_min,MEASURE_ET_lkg_50,MODERATE,0.043,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_Vbkdn_Cap100_Long,MEASURE_ET_lkg_10,STRONG,0.0977,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
SIN_ET_DC_RF_Vbgs_0p01,SIN_ET_DC_RF_Vbgd_0p1,MODERATE,0.1198,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,MEASURE_ET_lkg_Cap_USV,MODERATE,0.0509,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_C300pf,FIC_ET_DC_RF_Vbgs1,MODERATE,0.0584,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
SIN_GATE_ET_Rc_an_ct2,FIC_ET_lkg_SY8_80,STRONG,0.105,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_50,TOPSIN_ET_lkg_C385pf,MODERATE,0.1394,4/5,4.5,HIGH_EVIDENCE,LOW_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_Rc_OG142_GN,BRGM_ET_lkg_SY8_80,MODERATE,0.0309,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_Big_Vg_optt2,MEASURE_ET_DC_RF_Vg_Vbon_min,MODERATE,0.0283,3/5,5.1,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIC_ET_Bad_Gates,MEASURE_ET_DC_SMALL_Ids_m0p2,STRONG,0.1086,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_RF_Modeling_S12dB_10GHz,MaskSetSupplyChipsCount,STRONG,0.0651,5/5,6.0,MEDIUM_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_C100C175pf,MEASURE_ET_DC_RF_Max_S11_Ph_L2180,STRONG,0.1082,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIC_ET_Bad_Gates,SIN_GATE_ET_lkg_5,STRONG,0.0556,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
SIN_ET_DC_RF_Vbin_gs,MEASURE_ET_C300FB,STRONG,0.1368,5/5,5.7,HIGH_EVIDENCE,LOW_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_lkg_Cap3,MEASURE_ET_DC_SEC_X_Id_at_Vboff_mA_mm_SD3p5,MODERATE,0.0257,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_DC_RF_Vp_01,THIN_ET_C20_0,STRONG,0.0733,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_10,OHMIC_ET_R314,STRONG,0.044,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_KLV_F_AB_4u,THIN_ET_Rcat_cn_1_OW_ST,STRONG,0.0574,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_Cap_USV,MEASURE_ET_DC_SMALL_Vg_max_Vd,STRONG,0.0821,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_DC_RF_Vg_gm_max,FIC_ET_DC_RF_Vds_max,STRONG,0.0666,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_RF_S11ang_10GHz,THIN_ET_Rc_OG142,MODERATE,0.061,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_RF_CF_S22_Ph_L2180,SIN_ET_DC_RF_Vp_1,STRONG,0.0599,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
SIN_ET_DC_RF_Vdg_max_0p1,MEASURE_ET_lkg_50,MODERATE,0.0102,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_Rc_f_tn_23,FIC_ET_DC_RF_Vg_max_Vd,STRONG,0.0744,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_DC_RF_Vg_optt,TOPSIN_ET_DC_SMALL_Vbgd_0p1,STRONG,0.0461,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_SEC_X_Vp_1_mA_mm_second_FPSD3p2,MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,STRONG,0.1029,5/5,5.7,LOW_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_SEC_X_Vp_1_mA_mm,FIC_ET_Probe_Number,STRONG,0.0644,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_DC_RF_Idss,MEASURE_ET_RF_Modeling_Fmax,STRONG,0.0823,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIC_ET_DC_RF_Vbgs_0p01,THIN_ET_R314,STRONG,0.0316,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_C_AN_2_OW_CR,MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,STRONG,0.1486,5/5,6.0,MEDIUM_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TFRP_ET_Rsh_TFR2,TOPSIN_ET_lkg_C450pf,STRONG,0.0473,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_Stress_Id_stress_after,TOPSIN_ET_lkg_CapFICM1,STRONG,0.0459,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_RF_Modeling_Vth,MODERATE,0.0232,3/5,5.1,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_RF_S11ang_26GHz_W,SIN_GATE_ET_Rc_an_ct2,STRONG,0.1063,5/5,6.0,MEDIUM_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_Ran_con_1,THIN_ET_lkg_10,STRONG,0.0528,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_Cap_C300FB,TOPSIN_ET_Load_Pull_Id_ini,STRONG,0.1199,5/5,5.7,LOW_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_C300,THIN_ET_Rsh_an_ct2,STRONG,0.0375,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_lkg_Cap3,TOPSIN_ET_Load_Pull_Id_ini,STRONG,0.0942,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_DC_RF_Id_gm_max,MEASURE_ET_lkg_CapPARCAP,STRONG,0.0323,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIC_ET_DC_RF_Ids_m0p2,BRGM_ET_lkg_SY8_80,MODERATE,0.0337,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_Load_Pull_Pout_W_mm_last,FIC_ET_DC_RF_Imax,MODERATE,0.0148,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIC_ET_Vg_gm_max,SIN_GATE_ET_Rc_an_ct2,STRONG,0.1125,5/5,5.7,LOW_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
SIN_GATE_ET_Rc_an_ct2,TOPSIN_ET_CapUSV_0,STRONG,0.1123,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_CapPARCAP,SIN_GATE_ET_Rc_OG142_GN,STRONG,0.0834,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_Gm_max,THIN_ET_Rc_OG142,STRONG,0.0713,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_RF_Modeling_S21_25G_Before,MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos,MODERATE,0.0529,3/5,5.1,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
SIN_CAPACITOR_ThicknessGN1_SiN_Thickness,SIN_ET_DC_RF_Vbin_gs,STRONG,0.0971,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_Rcat_cn_1_OW_ST,TOPSIN_ET_DC_SMALL_Gm_max,STRONG,0.0862,5/5,6.0,HIGH_EVIDENCE,MEDIUM_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_Load_Pull_Id_ini,MEASURE_ET_C20_0,STRONG,0.0531,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_C_CAT_2,FIC_ET_lkg_SY8_80,MODERATE,0.063,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,THIN_ET_i5021_3,MODERATE,0.0211,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_DC_RF_Vp_1,MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2,STRONG,0.0522,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_Rc_cat_ct2,TOPSIN_ET_DC_SMALL_Vbgs1,STRONG,0.1067,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_lkg_Cap_USV,MEASURE_ET_Rc_an_ct2_OW_CR,STRONG,0.0872,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_Rc_f_tn_23,MEASURE_ET_RF_Modeling_Vth,STRONG,0.0503,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_lkg_10,MEASURE_ET_lkg_C300M1B,STRONG,0.1349,5/5,6.0,HIGH_EVIDENCE,MEDIUM_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_Vbpin,TOPSIN_ET_DC_RF_Vbgd1,STRONG,0.0622,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
SIN_ET_TR_1F,THIN_ET_DC_RF_Vp_1,STRONG,0.0536,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_DC_RF_CF_S12_Mag_L1002,STRONG,0.0528,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
SIN_ET_DC_RF_Gm_0,MEASURE_ET_LT_SEC_Vg_Id_min,STRONG,0.0343,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
SIN_ET_DC_RF_Ids_m0p2,MEASURE_ET_DC_SMALL_Ids_m0p2,STRONG,0.0938,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_LT_SEC_Vbgd1_Vd3,MEASURE_ET_Rcat_cn_1_OW_ST,STRONG,0.0473,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_Rc_cat_ct2,MEASURE_ET_C100,STRONG,0.1161,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIC_ET_HIRS,TOPSIN_ET_lkg_Cap3,STRONG,0.0472,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_Rcat_cn_3,TOPSIN_ET_lkg_C300pf,STRONG,0.1052,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_DC_RF_Vbgs_0p1,MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,STRONG,0.0473,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_50,MEASURE_ET_DC_RF2_S22ang_26GHz,STRONG,0.0724,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_RF2_S22dB_26GHz,MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,STRONG,0.0287,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_RF_Vt_gd,THIN_ET_lkg_5,STRONG,0.1099,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
BRGM_ET_Rsh_F_AB_2,THIN_ET_DC_RF_Vg_optt3,STRONG,0.0595,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_C20_0,MEASURE_ET_lkg_50,MODERATE,0.0993,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_RF_Modeling_S12ang_10GHz,MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,STRONG,0.0971,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_Ran_con_1,MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,STRONG,0.0331,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
OHMIC_ET_R114,TOPSIN_ET_Load_Pull_Id_ini,STRONG,0.0305,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_lkg_Cap2,THIN_ET_DC_RF_Id_gm_max,STRONG,0.1028,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_USV_Cap,FIC_ET_DC_RF_Vg_max_Vd_0p1mA,MODERATE,0.0164,3/5,5.1,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
SIN_GATE_ET_lkg_5,MEASURE_ET_DC_RF_Max_S11_Ph_L2180,STRONG,0.089,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_lkg_C200,MEASURE_ET_RF_Modeling_Fmax,STRONG,0.0402,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_Rc_an_ct2,THIN_ET_i5021_1,MODERATE,0.028,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_ABVIETCH,TOPSIN_ET_DC_RF_Vds_max,STRONG,0.0978,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_DC_RF_Vp_01,THIN_ET_Rc_OG142,STRONG,0.0918,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
BRIDGE_METAL_Height_Final_TOP_metal_thickness,MEASURE_ET_DC_SEC_Vp_1mA,STRONG,0.0261,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_Rcat_cn_2,SIN_ET_lkg_SY8_80,STRONG,0.1436,5/5,6.0,MEDIUM_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
SIN_GATE_ET_lkg_SY07_10,MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,STRONG,0.1352,5/5,6.0,MEDIUM_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_Vdg_max,MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,MODERATE,0.0418,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_Rc_cat_ct2_OW_ST,TOPSIN_ET_R514,STRONG,0.0717,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_LT_SEC_Ileak_m9p5V_mA_mm,TOPSIN_ET_lkg_CapFICM1,STRONG,0.1219,5/5,5.7,LOW_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIN_FIN_Alignment_FIN_to_ohmic_alignment,MEASURE_ET_RF_Modeling_Ft,STRONG,0.0718,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_DC_SMALL_Vbgs_0p01,STRONG,0.0612,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_DC_RF_Vg_optt,THIN_ET_lkg_10,STRONG,0.0306,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_SEC_X_Vg_at_I2_pos,MEASURE_ET_lkg_Cap_USV,STRONG,0.0582,5/5,6.0,MEDIUM_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_RF_Vbin_gs,MEASURE_ET_DC_SEC_X_Ig_cut3_mAmm_neg_FPSD3p2,MODERATE,0.0185,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIC_ET_DC_RF_Vbgs_0p01,OHMIC_ET_Rc_OG142,STRONG,0.0956,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_RF_Vbin_gs,MEASURE_ET_DC_RF_Max_S11_Mag_L2180,STRONG,0.1094,5/5,6.0,HIGH_EVIDENCE,MEDIUM_EVIDENCE,G2_hub_feature_edge
FIC_ET_Vp_1,MEASURE_ET_DC_Big_Vg_optt2,STRONG,0.0825,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,FIC_ET_DC_PIV_Drain_Lag_1,STRONG,0.0853,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_R_f_hr_3,MEASURE_ET_DC_Stress_Id_max_Ig_after,STRONG,0.0306,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,FIC_ET_R_f_tn_1,MODERATE,0.0291,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_LT_SEC_Vbgd1_Vd3,FIC_ET_DC_RF_Vp_1,STRONG,0.0798,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_SEC_X_Ig_cut3_mAmm_neg_FPSD3p2,MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,MODERATE,0.0104,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_RF_Vbgd_0p01,MEASURE_ET_lkg_USV_Cap,STRONG,0.0693,5/5,5.7,LOW_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIC_ET_R_f_hr_3,FIC_ET_DC_RF_Vg_max_Vd,STRONG,0.0396,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_R_660_VER,STRONG,0.0661,5/5,5.7,HIGH_EVIDENCE,LOW_EVIDENCE,G2_hub_feature_edge
TFRP_ET_Rc_TF_AB_2,THIN_ET_Rcat_cn_1_OW_ST,STRONG,0.0443,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_Rc_an_ct2,TOPSIN_ET_DC_SMALL_Vbgs1,MODERATE,0.0557,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_SMALL_Imax,TOPSIN_ET_CapFICBRGM,MODERATE,0.0524,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_PAD_10,SIN_ET_DC_RF_Vbgs_0p01,MODERATE,0.0766,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_lkg_Cap_USV,MEASURE_ET_C100C175pf,STRONG,0.0771,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_Rc_f_tn_23,MEASURE_ET_DC_SMALL_Vbgs_0p01,STRONG,0.056,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_DC_RF_Vg_gm_max,THIN_ET_lkg_10,STRONG,0.0522,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIC_ET_Gm_max,FIC_ET_lkg_SY07_10,STRONG,0.0862,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_Cap1,FIC_ET_DC_RF_Vg_max_Vd_0p1mA,MODERATE,0.0112,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
